,game_date,game_id,event,team,opponent,home,goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession,shots,shots_on_goal
0,2018-10-28 20:30:00,502360,"2018 Major League Soccer, Regular Season",LAFC,Sporting Kansas City,0.0,1,12,1,0,1,4,5,0.56,16.0,3.0
1,2018-10-28 20:30:00,502360,"2018 Major League Soccer, Regular Season",Sporting Kansas City,LAFC,1.0,2,13,3,1,0,2,1,0.44,8.0,7.0
2,2018-10-21 21:00:00,502377,"2018 Major League Soccer, Regular Season",Vancouver Whitecaps,LAFC,0.0,2,18,3,0,3,1,3,0.27,10.0,4.0
3,2018-10-21 21:00:00,502377,"2018 Major League Soccer, Regular Season",LAFC,Vancouver Whitecaps,1.0,2,11,1,0,0,4,2,0.73,20.0,5.0
4,2018-10-13 02:00:00,502378,"2018 Major League Soccer, Regular Season",Houston Dynamo,LAFC,0.0,2,13,2,0,0,2,4,0.4,9.0,5.0
5,2018-10-13 02:00:00,502378,"2018 Major League Soccer, Regular Season",LAFC,Houston Dynamo,1.0,4,13,2,0,1,3,3,0.6,16.0,8.0
6,2018-10-07 01:00:00,502389,"2018 Major League Soccer, Regular Season",LAFC,Colorado Rapids,0.0,3,11,0,0,0,6,1,0.46,15.0,6.0
7,2018-10-07 01:00:00,502389,"2018 Major League Soccer, Regular Season",Colorado Rapids,LAFC,1.0,0,15,4,0,4,5,3,0.54,8.0,1.0
8,2018-09-29 19:30:00,502407,"2018 Major League Soccer, Regular Season",Chicago Fire,LAFC,1.0,3,23,5,0,3,3,5,0.34,9.0,4.0
9,2018-09-29 19:30:00,502407,"2018 Major League Soccer, Regular Season",LAFC,Chicago Fire,0.0,1,9,0,0,0,6,1,0.66,16.0,6.0
10,2018-09-22 19:30:00,502419,"2018 Major League Soccer, Regular Season",LAFC,San Jose Earthquakes,1.0,2,6,0,0,1,12,1,0.5,18.0,8.0
11,2018-09-22 19:30:00,502419,"2018 Major League Soccer, Regular Season",San Jose Earthquakes,LAFC,0.0,0,8,2,0,4,1,6,0.5,4.0,1.0
12,2018-09-16 02:30:00,502425,"2018 Major League Soccer, Regular Season",LAFC,New England Revolution,1.0,1,12,1,0,4,7,7,0.57,15.0,6.0
13,2018-09-16 02:30:00,502425,"2018 Major League Soccer, Regular Season",New England Revolution,LAFC,0.0,1,27,3,0,0,6,5,0.43,20.0,8.0
14,2018-09-02 00:00:00,502443,"2018 Major League Soccer, Regular Season",Toronto FC,LAFC,1.0,2,8,3,0,2,5,4,0.61,21.0,8.0
15,2018-09-02 00:00:00,502443,"2018 Major League Soccer, Regular Season",LAFC,Toronto FC,0.0,4,11,1,0,2,2,6,0.39,14.0,8.0
16,2018-08-25 02:30:00,502461,"2018 Major League Soccer, Regular Season",LAFC,LA Galaxy,0.0,1,6,1,0,1,7,3,0.5,15.0,7.0
17,2018-08-25 02:30:00,502461,"2018 Major League Soccer, Regular Season",LA Galaxy,LAFC,1.0,1,16,5,0,2,7,6,0.5,13.0,4.0
18,2018-08-20 02:00:00,502467,"2018 Major League Soccer, Regular Season",Colorado Rapids,LAFC,0.0,0,18,2,0,5,1,3,0.51,11.0,5.0
19,2018-08-20 02:00:00,502467,"2018 Major League Soccer, Regular Season",LAFC,Colorado Rapids,1.0,2,17,2,0,3,7,5,0.49,15.0,5.0
20,2018-08-16 02:00:00,502476,"2018 Major League Soccer, Regular Season",LAFC,Real Salt Lake,1.0,2,7,1,0,3,5,4,0.53,12.0,7.0
21,2018-08-16 02:00:00,502476,"2018 Major League Soccer, Regular Season",Real Salt Lake,LAFC,0.0,0,17,5,0,4,5,5,0.47,8.0,4.0
22,2018-08-12 02:30:00,502482,"2018 Major League Soccer, Regular Season",LAFC,Sporting Kansas City,1.0,0,16,2,0,2,6,3,0.52,19.0,5.0
23,2018-08-12 02:30:00,502482,"2018 Major League Soccer, Regular Season",Sporting Kansas City,LAFC,0.0,2,18,2,0,2,4,5,0.48,13.0,5.0
24,2018-08-05 22:00:00,502489,"2018 Major League Soccer, Regular Season",LAFC,New York Red Bulls,0.0,1,7,1,0,2,5,3,0.54,9.0,3.0
25,2018-08-05 22:00:00,502489,"2018 Major League Soccer, Regular Season",New York Red Bulls,LAFC,1.0,2,8,1,0,1,4,2,0.46,14.0,5.0
26,2018-07-27 02:30:00,502510,"2018 Major League Soccer, Regular Season",LA Galaxy,LAFC,0.0,2,22,4,0,4,4,4,0.53,15.0,4.0
27,2018-07-27 02:30:00,502510,"2018 Major League Soccer, Regular Season",LAFC,LA Galaxy,1.0,2,15,0,0,2,6,2,0.47,18.0,7.0
28,2018-07-22 23:00:00,502515,"2018 Major League Soccer, Regular Season",LAFC,Minnesota United FC,0.0,1,3,1,0,0,15,5,0.58,13.0,7.0
29,2018-07-22 23:00:00,502515,"2018 Major League Soccer, Regular Season",Minnesota United FC,LAFC,1.0,5,6,0,0,2,4,6,0.42,15.0,10.0
30,2018-07-15 22:00:00,502526,"2018 Major League Soccer, Regular Season",LAFC,Portland Timbers,1.0,0,13,2,1,0,11,6,0.56,13.0,6.0
31,2018-07-15 22:00:00,502526,"2018 Major League Soccer, Regular Season",Portland Timbers,LAFC,0.0,0,7,2,0,3,2,6,0.44,11.0,6.0
32,2018-07-08 03:00:00,502548,"2018 Major League Soccer, Regular Season",Orlando City SC,LAFC,0.0,1,12,2,0,5,4,9,0.37,14.0,9.0
33,2018-07-08 03:00:00,502548,"2018 Major League Soccer, Regular Season",LAFC,Orlando City SC,1.0,4,8,1,0,3,4,8,0.63,19.0,13.0
34,2018-07-04 02:30:00,502555,"2018 Major League Soccer, Regular Season",Houston Dynamo,LAFC,1.0,2,16,2,0,3,10,1,0.54,16.0,8.0
35,2018-07-04 02:30:00,502555,"2018 Major League Soccer, Regular Season",LAFC,Houston Dynamo,0.0,2,13,3,0,3,2,6,0.46,8.0,3.0
36,2018-07-01 00:00:00,502558,"2018 Major League Soccer, Regular Season",Philadelphia Union,LAFC,0.0,1,10,0,0,9,7,4,0.46,10.0,2.0
37,2018-07-01 00:00:00,502558,"2018 Major League Soccer, Regular Season",LAFC,Philadelphia Union,1.0,4,8,2,0,6,4,1,0.54,11.0,8.0
38,2018-06-24 02:30:00,502569,"2018 Major League Soccer, Regular Season",LAFC,Columbus Crew SC,1.0,2,9,1,0,2,4,1,0.52,16.0,5.0
39,2018-06-24 02:30:00,502569,"2018 Major League Soccer, Regular Season",Columbus Crew SC,LAFC,0.0,0,17,4,0,2,6,3,0.48,10.0,1.0
40,2018-06-10 02:30:00,502582,"2018 Major League Soccer, Regular Season",San Jose Earthquakes,LAFC,1.0,3,15,0,1,3,2,1,0.37,10.0,7.0
41,2018-06-10 02:30:00,502582,"2018 Major League Soccer, Regular Season",LAFC,San Jose Earthquakes,0.0,4,19,2,0,1,3,4,0.63,14.0,5.0
42,2018-06-03 00:00:00,502595,"2018 Major League Soccer, Regular Season",FC Dallas,LAFC,1.0,2,9,1,0,2,6,2,0.45,19.0,7.0
43,2018-06-03 00:00:00,502595,"2018 Major League Soccer, Regular Season",LAFC,FC Dallas,0.0,1,11,1,1,0,3,5,0.55,8.0,3.0
44,2018-05-27 02:00:00,502608,"2018 Major League Soccer, Regular Season",LAFC,DC United,1.0,1,8,0,1,0,5,1,0.42,18.0,6.0
45,2018-05-27 02:00:00,502608,"2018 Major League Soccer, Regular Season",DC United,LAFC,0.0,1,20,4,0,0,12,5,0.58,13.0,2.0
46,2018-05-19 19:00:00,502626,"2018 Major League Soccer, Regular Season",Portland Timbers,LAFC,1.0,2,11,3,0,2,6,4,0.41,21.0,7.0
47,2018-05-19 19:00:00,502626,"2018 Major League Soccer, Regular Season",LAFC,Portland Timbers,0.0,1,9,3,0,2,6,5,0.59,10.0,5.0
48,2018-05-14 00:30:00,502631,"2018 Major League Soccer, Regular Season",New York City FC,LAFC,0.0,2,14,2,0,1,9,2,0.52,17.0,7.0
49,2018-05-14 00:30:00,502631,"2018 Major League Soccer, Regular Season",LAFC,New York City FC,1.0,2,10,3,0,1,14,5,0.48,21.0,3.0
